name,price,ref,ref_p,fob,landed,profit,margin,roi,fob_max25,fob_max20,breakeven,units,profit_mo,ppc,note
"Фильтр совм. DeLonghi DLSC002, 6-pack @ 24.99",24.99,B0C7ZTVPPB,19.94,4.0,4.72,5.16,20.7,109.0,2.89,4.17,15.61,600,3098,12,против FILSWA 19.94 (6шт) — вход через качество+чистый немецкий листинг; ниша 20.99–24.99
"Фильтр совм. Jura RFID, 6-pack @ 42.99",42.99,B0G1438SF7,39.99,10.0,10.6,10.06,23.4,95.0,9.3,11.49,25.35,500,5030,10,"GLACIER FRESH 39.99 (снизил с 59.99); Waterdrop-ниша; расходник, LTV"
Kirschentkerner столовый @ 45.99,45.99,B0CSZ1KZZB,49.99,5.0,6.13,14.87,32.3,243.0,8.29,10.53,18.97,400,5948,12,Thiru 49.99 сейчас (сезонный пик 2000/мес); закупка к маю 2027 или экспресс-партия
Kühltasche faltbar 40L @ 34.99,34.99,B0FL86NQVD,34.99,4.5,5.87,8.35,23.9,142.0,4.12,5.8,19.82,300,2505,12,"HELDENWERK 40L = 34.99 (новая линейка, 199 отз.) — заходим в крупный формат, не в 20L"
Kühldecke 150×200 Arc-Chill @ 42.99,42.99,B07QJ132TD,54.99,8.5,10.29,8.35,19.4,81.0,6.23,8.26,27.82,225,1877,12,Elegear 54.99 в сезоне (ср.50.3) — вход -20%; сезон V–VIII; OEKO-TEX
Fliegengitter Magnet 4er @ 39.99,39.99,B0CX5K1K2D,47.99,6.5,8.1,7.93,19.8,98.0,4.45,6.43,25.58,300,2378,12,"EASYmaxx 47.99, но Amazon 1P на листинге (42.00) и рейтинг 4.1 — бить качеством рамки/магнитов"
Brotbeutel лен/пчел.воск 2шт @ 19.99,19.99,B0GHQMDL44,20.99,2.2,3.03,4.54,22.7,150.0,1.77,2.72,11.73,180,817,12,"AirBanish 20.99, всего 101 отзыв, ниша свежая; микрокапитал, добивка контейнера"
"TV-стенд 43–75"" CT7501 @ 149.99 (FCL)",149.99,B0C37Q5B6J,127.99,29.7,31.74,36.19,24.1,114.0,28.32,36.24,86.53,75,2714,10,ONKRON-аналог B0C37Q5B6J упал до 127.99 (ср.232) — вход 149.99; фрахт FCL 60€/м³
Hängeregisterschrank ZY-3 @ 219 (B2B),219.0,B01FPD5ZUQ,195.99,45.0,64.94,40.91,18.7,63.0,30.4,41.95,153.05,21,859,5,"Jan Nowak V005 204–290 с рейтингом 3.3–3.5; Amazon Business; PPC ниже (B2B, узкая ниша)"
[ОТКЛОНЕН] Mülltrennsystem 2×15L @ 57.11,57.11,B0DTPH75V8,57.11,12.0,23.29,-0.8,-1.4,-3.0,-2.97,-0.13,58.56,150,-119,12,9.46 кг → фрахт 10.9 + FBA 7.94 съедают все; работает только у SONGMICS с их масштабом
[РЕЗЕРВ] Мини-холодильник 4л @ 44.99,44.99,AstroAI/Citybee,44.99,15.5,17.5,1.86,4.1,11.0,5.8,8.12,41.61,108,200,12,маржа тонкая + WEEE/CE; только если комиссия 7% (Elektro-Großgeräte) подтвердится
